side,n,seed,family,algo,rounds_eps3,conv_eps3,rounds_eps6,conv_eps6,maxr,alpha,secs,max_deg,edges,cost3_load,cost6_load,note
22,484,30,curved,heat,103,1,254,1,40000,0.5,0.093,127,924,13081,32258,
22,484,30,curved,pushsum,71,1,170,1,40000,0.5,0.061,127,924,9017,21590,
22,484,30,curved,gossip,1807,1,4508,1,40000,0.5,0.989,127,924,229489,572516,
22,484,30,localrand,heat,1697,1,5047,1,40000,0.5,1.322,8,924,13576,40376,
22,484,30,localrand,pushsum,1242,1,3412,1,40000,0.5,0.863,8,924,9936,27296,
22,484,30,localrand,gossip,1585,1,4402,1,40000,0.5,0.775,8,924,12680,35216,
22,484,34,flat,heat,1258,1,3787,1,40000,0.5,1.245,4,924,5032,15148,
22,484,34,flat,pushsum,845,1,2446,1,40000,0.5,0.826,4,924,3380,9784,
22,484,34,flat,gossip,870,1,2526,1,40000,0.5,0.507,4,924,3480,10104,
22,484,34,curved,heat,105,1,286,1,40000,0.5,0.108,171,926,17955,48906,
22,484,34,curved,pushsum,55,1,174,1,40000,0.5,0.071,171,926,9405,29754,
22,484,34,curved,gossip,2150,1,5691,1,40000,0.5,1.263,171,926,367650,973161,
22,484,34,localrand,heat,2022,1,5713,1,40000,0.5,1.091,9,925,18198,51417,
22,484,34,localrand,pushsum,1393,1,3733,1,40000,0.5,0.826,9,925,12537,33597,
22,484,34,localrand,gossip,1757,1,4697,1,40000,0.5,0.821,9,925,15813,42273,
22,484,39,flat,heat,1089,1,3613,1,40000,0.5,0.869,4,924,4356,14452,
22,484,39,flat,pushsum,668,1,2264,1,40000,0.5,0.574,4,924,2672,9056,
22,484,39,flat,gossip,683,1,2333,1,40000,0.5,0.527,4,924,2732,9332,
22,484,39,curved,heat,111,1,301,1,40000,0.5,0.056,104,926,11544,31304,
22,484,39,curved,pushsum,97,1,246,1,40000,0.5,0.055,104,926,10088,25584,
22,484,39,curved,gossip,863,1,2982,1,40000,0.5,0.498,104,926,89752,310128,
22,484,39,localrand,heat,1814,1,4908,1,40000,0.5,0.951,9,924,16326,44172,
22,484,39,localrand,pushsum,847,1,2796,1,40000,0.5,0.646,9,924,7623,25164,
22,484,39,localrand,gossip,1148,1,3801,1,40000,0.5,0.611,9,924,10332,34209,
22,484,35,flat,heat,1362,1,3891,1,40000,0.5,0.871,4,924,5448,15564,
22,484,35,flat,pushsum,897,1,2499,1,40000,0.5,0.487,4,924,3588,9996,
22,484,35,flat,gossip,925,1,2581,1,40000,0.5,0.392,4,924,3700,10324,
22,484,35,curved,heat,182,1,442,1,40000,0.5,0.083,87,924,15834,38454,
22,484,35,curved,pushsum,127,1,305,1,40000,0.5,0.069,87,924,11049,26535,
22,484,35,curved,gossip,1351,1,3791,1,40000,0.5,0.782,87,924,117537,329817,
22,484,35,localrand,heat,1580,1,4827,1,40000,0.5,0.873,8,926,12640,38616,
